id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
gabon-gabon-ministry-responsible-for-labour-employment-manpower-social-protection-or-workf,"Gabon ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Gabon%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Gabon,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gabon"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gabon-gabon-national-universities-and-public-research-institutions-career-pages-national-u,Gabon national universities and public research institutions career pages,https://www.google.com/search?q=%22Gabon%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Gabon,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gabon"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gabon-embassies-high-commissions-and-foreign-missions-in-gabon-embassies-and-high-commissi,"Embassies, high commissions and foreign missions in Gabon",https://www.google.com/search?q=%22Gabon%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Gabon,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gabon"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gabon-united-nations-in-gabon-un-country-team-un-agency-country-offices-un-country-team-an,United Nations in Gabon / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Gabon%22+OR+%22UN+Country+Team+Gabon%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Gabon,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Gabon"" OR ""UN Country Team Gabon"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gabon-international-ngo-country-offices-in-gabon-ingo-country-offices,International NGO country offices in Gabon,https://www.google.com/search?q=%22Gabon%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Gabon,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gabon"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gabon-donors-bilateral-agencies-contractors-and-development-programmes-in-gabon-donors-con,"Donors, bilateral agencies, contractors and development programmes in Gabon",https://www.google.com/search?q=%22Gabon%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Gabon,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gabon"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gambia-gambia-public-service-commission-civil-service-commission-civil-service-agency-publ,Gambia Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Gambia%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Gambia,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gambia"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gambia-gambia-ministry-responsible-for-labour-employment-manpower-social-protection-or-wor,"Gambia ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Gambia%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Gambia,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gambia"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gambia-gambia-national-universities-and-public-research-institutions-career-pages-national,Gambia national universities and public research institutions career pages,https://www.google.com/search?q=%22Gambia%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Gambia,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gambia"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gambia-embassies-high-commissions-and-foreign-missions-in-gambia-embassies-and-high-commis,"Embassies, high commissions and foreign missions in Gambia",https://www.google.com/search?q=%22Gambia%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Gambia,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gambia"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gambia-united-nations-in-gambia-un-country-team-un-agency-country-offices-un-country-team-,United Nations in Gambia / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Gambia%22+OR+%22UN+Country+Team+Gambia%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Gambia,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Gambia"" OR ""UN Country Team Gambia"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gambia-international-ngo-country-offices-in-gambia-ingo-country-offices,International NGO country offices in Gambia,https://www.google.com/search?q=%22Gambia%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Gambia,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gambia"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
